ISim log file
Running: C:\Users\17201\Desktop\CO\P7\module\mips_txt_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb C:/Users/17201/Desktop/CO/P7/module/mips_txt_isim_beh.wdb 
ISim P.20131013 (signature 0x8ef4fb42)
This is a Full version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
                  58@00004180: $16 <= 000041bc
                  74@000041bc: $26 <= 00001000
                  78@000041c4: *00000f74 <= 00000000
                  78@000041c0: $26 <= 00000f00
                  86@000041cc: *00000f04 <= 00000000
                  86@000041c8: $29 <= 00000f00
                  90@000041d0: *00000f08 <= 00000000
                  94@000041d4: *00000f7c <= 00000000
                 102@000041d8: $26 <= 00000000
                 106@000041e0: *00000f80 <= 00000000
                 106@000041dc: $27 <= 00000000
                 110@000041e4: *00000f84 <= 00000000
                 118@000041e8: $18 <= 0000418c
                 134@0000418c: $26 <= 80000010
                 138@00004190: $27 <= 0000007c
                 142@00004194: $26 <= 00000010
                 158@000041a0: $26 <= 00003000
                 166@000041a4: $26 <= 00003004
                 174@000041ac: $17 <= 000041f4
                 190@000041f4: $ 1 <= 00000000
                 194@000041f8: $ 2 <= 00000000
                 198@000041fc: $31 <= 00000000
                 202@00004200: $26 <= 00000000
                 206@00004204: $27 <= 00000000
                 218@00004210: $29 <= 00000000
                 222@00004214: $19 <= 000041b8
                 258@00004180: $16 <= 000041bc
                 274@000041bc: $26 <= 00001000
                 278@000041c4: *00000f74 <= 00000000
                 278@000041c0: $26 <= 00000f00
                 286@000041cc: *00000f04 <= 00000000
                 286@000041c8: $29 <= 00000f00
                 290@000041d0: *00000f08 <= 00000000
                 294@000041d4: *00000f7c <= 00000000
                 302@000041d8: $26 <= 00000000
                 306@000041e0: *00000f80 <= 00000000
                 306@000041dc: $27 <= 00000000
                 310@000041e4: *00000f84 <= 00000000
                 318@000041e8: $18 <= 0000418c
                 334@0000418c: $26 <= 00000010
                 338@00004190: $27 <= 0000007c
                 342@00004194: $26 <= 00000010
                 358@000041a0: $26 <= 00003004
                 366@000041a4: $26 <= 00003008
                 374@000041ac: $17 <= 000041f4
                 390@000041f4: $ 1 <= 00000000
                 394@000041f8: $ 2 <= 00000000
                 398@000041fc: $31 <= 00000000
                 402@00004200: $26 <= 00000000
                 406@00004204: $27 <= 00000000
                 418@00004210: $29 <= 00000000
                 422@00004214: $19 <= 000041b8
                 462@00004180: $16 <= 000041bc
                 478@000041bc: $26 <= 00001000
                 482@000041c4: *00000f74 <= 00000000
                 482@000041c0: $26 <= 00000f00
                 490@000041cc: *00000f04 <= 00000000
                 490@000041c8: $29 <= 00000f00
                 494@000041d0: *00000f08 <= 00000000
                 498@000041d4: *00000f7c <= 00000000
                 506@000041d8: $26 <= 00000000
                 510@000041e0: *00000f80 <= 00000000
                 510@000041dc: $27 <= 00000000
                 514@000041e4: *00000f84 <= 00000000
                 522@000041e8: $18 <= 0000418c
                 538@0000418c: $26 <= 80000010
                 542@00004190: $27 <= 0000007c
                 546@00004194: $26 <= 00000010
                 562@000041a0: $26 <= 00003008
                 570@000041a4: $26 <= 0000300c
                 578@000041ac: $17 <= 000041f4
                 594@000041f4: $ 1 <= 00000000
                 598@000041f8: $ 2 <= 00000000
                 602@000041fc: $31 <= 00000000
                 606@00004200: $26 <= 00000000
                 610@00004204: $27 <= 00000000
                 622@00004210: $29 <= 00000000
                 626@00004214: $19 <= 000041b8
                 662@00004180: $16 <= 000041bc
                 678@000041bc: $26 <= 00001000
                 682@000041c4: *00000f74 <= 00000000
                 682@000041c0: $26 <= 00000f00
                 690@000041cc: *00000f04 <= 00000000
                 690@000041c8: $29 <= 00000f00
                 694@000041d0: *00000f08 <= 00000000
                 698@000041d4: *00000f7c <= 00000000
                 706@000041d8: $26 <= 00000000
                 710@000041e0: *00000f80 <= 00000000
                 710@000041dc: $27 <= 00000000
                 714@000041e4: *00000f84 <= 00000000
                 722@000041e8: $18 <= 0000418c
                 738@0000418c: $26 <= 00000010
                 742@00004190: $27 <= 0000007c
                 746@00004194: $26 <= 00000010
                 762@000041a0: $26 <= 0000300c
                 770@000041a4: $26 <= 00003010
                 778@000041ac: $17 <= 000041f4
                 794@000041f4: $ 1 <= 00000000
                 798@000041f8: $ 2 <= 00000000
                 802@000041fc: $31 <= 00000000
                 806@00004200: $26 <= 00000000
                 810@00004204: $27 <= 00000000
                 822@00004210: $29 <= 00000000
                 826@00004214: $19 <= 000041b8
                 866@00004180: $16 <= 000041bc
                 882@000041bc: $26 <= 00001000
                 886@000041c4: *00000f74 <= 00000000
                 886@000041c0: $26 <= 00000f00
                 894@000041cc: *00000f04 <= 00000000
                 894@000041c8: $29 <= 00000f00
                 898@000041d0: *00000f08 <= 00000000
                 902@000041d4: *00000f7c <= 00000000
                 910@000041d8: $26 <= 00000000
                 914@000041e0: *00000f80 <= 00000000
                 914@000041dc: $27 <= 00000000
                 918@000041e4: *00000f84 <= 00000000
                 926@000041e8: $18 <= 0000418c
                 942@0000418c: $26 <= 80000010
                 946@00004190: $27 <= 0000007c
                 950@00004194: $26 <= 00000010
                 966@000041a0: $26 <= 00003010
